Temperature,Humidity,Sunlight,Moisture,Air Quality,Output
25,78,1,62,16,GUAVA
21,60,1,64,42,APPLE
30,54,0,51,20,BLUEBERRY
27,61,1,52,42,GRAPE
26,68,1,63,83,BANANA
22,62,0,68,17,BLUEBERRY
15,79,1,60,174,KIWI
30,71,1,31,43,MANGO
22,70,1,61,90,KIWI
22,42,1,76,90,POMEGRANATE
17,64,1,52,81,PEAR
24,55,1,57,34,APPLE
24,66,1,26,50,MANGO
25,61,0,57,69,LEMON
24,66,1,70,14,KIWI
26,60,1,50,18,DRAGONFRUIT
15,66,1,71,24,KIWI
24,71,1,50,63,DRAGONFRUIT
27,64,0,74,66,BLUEBERRY
26,63,1,67,198,BANANA
24,74,1,68,98,GUAVA
29,73,1,18,80,MANGO
29,62,1,63,76,DRAGONFRUIT
18,56,1,65,170,PEAR
24,62,0,58,72,LEMON
38,65,1,65,95,BANANA
18,70,0,69,98,BLUEBERRY
29,65,0,67,116,JAMUN
19,55,0,53,26,CHERRIES
26,68,1,52,87,ORANGE
29,66,1,19,100,MANGO
24,57,1,52,19,PEAR
28,73,1,50,95,DRAGONFRUIT
19,57,0,58,28,BLUEBERRY
20,61,1,58,131,KIWI
24,69,0,79,83,STRAWBERRY
30,55,1,64,13,POMEGRANATE
30,70,1,64,200,GUAVA
19,69,0,73,89,STRAWBERRY
23,62,0,51,60,LEMON
30,65,1,24,98,MANGO
20,65,0,51,43,LEMON
17,57,0,72,79,STRAWBERRY
33,62,0,67,192,JAMUN
30,61,1,59,32,MOUSAMBI
22,70,1,65,27,KIWI
24,59,1,74,25,MOUSAMBI
18,57,1,73,70,PEAR
19,69,1,70,81,PEAR
25,60,0,54,20,LEMON
30,79,1,52,58,GUAVA
19,51,1,59,192,PEAR
16,60,1,67,118,BANANA
19,62,0,57,74,BLUEBERRY
26,60,1,59,178,GUAVA
29,51,1,61,36,MOUSAMBI
28,52,0,75,93,LEMON
24,53,1,65,27,APPLE
30,67,0,65,75,JAMUN
18,61,1,66,110,KIWI
20,70,1,64,76,GUAVA
25,70,1,50,131,GUAVA
23,61,1,65,32,DRAGONFRUIT
20,51,1,63,25,MOUSAMBI
25,67,0,65,180,JAMUN
16,60,0,78,52,STRAWBERRY
18,59,0,56,27,CHERRIES
30,72,0,80,39,JAMUN
18,50,0,62,18,CHERRIES
17,61,0,63,26,BLUEBERRY
21,55,1,67,37,APPLE
23,63,1,73,18,APPLE
29,54,1,73,186,ORANGE
32,71,1,64,24,BANANA
24,54,0,59,89,CHERRIES
24,64,1,54,26,APPLE
21,59,0,55,25,CHERRIES
22,53,1,65,57,PEAR
29,56,0,58,22,BLUEBERRY
22,53,1,60,26,POMEGRANATE
25,64,1,68,151,ORANGE
17,60,0,69,63,BLUEBERRY
17,67,0,55,53,BLUEBERRY
19,59,0,75,96,STRAWBERRY
20,65,1,68,173,GUAVA
27,76,0,62,164,JAMUN
21,69,1,65,24,APPLE
30,58,1,61,99,MOUSAMBI
25,72,1,25,38,MANGO
26,60,1,33,93,MANGO
26,75,1,58,85,DRAGONFRUIT
21,56,0,58,63,LEMON
35,64,1,67,91,GRAPE
20,62,1,60,72,GRAPE
27,68,1,60,142,GUAVA
21,68,0,78,76,STRAWBERRY
28,68,0,59,43,LEMON
16,54,1,61,184,PEAR
24,55,0,54,35,BLUEBERRY
16,59,0,76,74,STRAWBERRY
20,60,0,67,80,LEMON
22,79,1,73,200,KIWI
28,51,1,56,43,ORANGE
25,61,1,52,12,ORANGE
20,64,0,73,10,CHERRIES
18,67,0,72,54,BLUEBERRY
23,61,0,63,34,CHERRIES
21,64,1,59,98,DRAGONFRUIT
27,56,0,70,13,BLUEBERRY
20,74,1,75,52,GUAVA
21,63,1,75,68,PEAR
28,53,1,58,26,POMEGRANATE
21,69,1,65,156,PEAR
24,51,0,78,83,STRAWBERRY
24,61,1,55,164,GUAVA
24,78,1,15,98,MANGO
22,62,1,62,80,DRAGONFRUIT
17,67,1,54,146,PEAR
15,64,1,65,28,PEAR
25,63,1,74,118,ORANGE
26,76,1,55,17,DRAGONFRUIT
17,62,1,69,134,PEAR
36,50,1,55,29,GRAPE
18,66,1,64,16,PEAR
23,60,1,59,62,MOUSAMBI
15,69,0,70,56,STRAWBERRY
16,53,0,75,50,STRAWBERRY
22,77,1,60,139,BANANA
30,55,1,53,23,MOUSAMBI
28,79,1,57,54,DRAGONFRUIT
18,50,0,55,26,BLUEBERRY
19,68,1,52,143,PEAR
29,76,1,67,43,DRAGONFRUIT
25,80,0,69,55,JAMUN
24,65,1,50,12,DRAGONFRUIT
19,63,1,64,165,PEAR
20,78,1,68,47,DRAGONFRUIT
27,62,1,56,198,BANANA
29,53,1,56,21,MOUSAMBI
15,59,1,74,82,PEAR
23,65,1,67,27,APPLE
23,64,1,63,155,KIWI
24,67,1,57,141,PEAR
20,64,1,66,16,PEAR
19,79,1,65,108,KIWI
28,64,0,70,88,BLUEBERRY
16,59,0,73,32,CHERRIES
17,69,0,72,70,BLUEBERRY
30,52,1,72,54,ORANGE
26,55,0,52,55,BLUEBERRY
26,75,1,32,30,MANGO
26,60,0,70,190,JAMUN
21,53,1,69,23,APPLE
28,61,1,73,148,ORANGE
20,70,1,64,176,KIWI
35,75,0,64,116,JAMUN
30,60,0,70,47,JAMUN
17,65,1,55,117,KIWI
19,47,1,79,90,POMEGRANATE
28,64,0,80,167,JAMUN
28,50,1,63,50,MOUSAMBI
30,57,1,72,64,POMEGRANATE
21,50,0,67,78,LEMON
25,61,1,62,32,MOUSAMBI
21,53,0,61,72,BLUEBERRY
24,59,0,73,89,STRAWBERRY
23,61,0,60,58,BLUEBERRY
24,51,0,66,21,LEMON
30,69,0,72,92,BLUEBERRY
32,44,1,67,80,POMEGRANATE
37,63,1,57,97,BANANA
45,55,1,55,47,GRAPE
30,63,1,62,27,GRAPE
16,67,1,50,25,GRAPE
21,62,0,80,15,STRAWBERRY
20,55,0,61,73,LEMON
25,72,1,16,72,MANGO
15,64,0,76,34,STRAWBERRY
26,54,0,60,34,BLUEBERRY
18,69,0,56,68,BLUEBERRY
23,60,1,66,159,KIWI
21,55,0,66,34,CHERRIES
21,65,1,51,148,PEAR
27,70,0,73,99,JAMUN
23,64,1,62,16,APPLE
27,54,1,52,84,ORANGE
30,60,0,57,97,BLUEBERRY
24,65,1,58,22,DRAGONFRUIT
